data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
328  Carne, bovina, acém, sem gordura, cozido  6  Carnes e derivados  215  27.3  10.9  0
329  Carne, bovina, acém, sem gordura, cru  6  Carnes e derivados  144  20.8  6.1  0
330  Carne, bovina, almôndegas, cruas  6  Carnes e derivados  189  12.3  11.2  9.8
331  Carne, bovina, almôndegas, fritas  6  Carnes e derivados  272  18.2  15.8  14.3
332  Carne, bovina, bucho, cozido  6  Carnes e derivados  133  21.6  4.5  0
333  Carne, bovina, bucho, cru  6  Carnes e derivados  137  20.5  5.5  0
334  Carne, bovina, capa de contra-filé, com gordura, crua  6  Carnes e derivados  217  19.2  15  0
335  Carne, bovina, capa de contra-filé, com gordura, grelhada  6  Carnes e derivados  312  30.7  20  0
336  Carne, bovina, capa de contra-filé, sem gordura, crua  6  Carnes e derivados  131  21.5  4.3  0
337  Carne, bovina, capa de contra-filé, sem gordura, grelhada  6  Carnes e derivados  239  35.1  10  0
338  Carne, bovina, charque, cozido  6  Carnes e derivados  263  36.4  11.9  0
339  Carne, bovina, charque, cru  6  Carnes e derivados  249  22.7  16.8  0
340  Carne, bovina, contra-filé, à milanesa  6  Carnes e derivados  352  20.6  24  12.2
341  Carne, bovina, contra-filé de costela, cru  6  Carnes e derivados  202  19.8  13.1  0
342  Carne, bovina, contra-filé de costela, grelhado  6  Carnes e derivados  275  29.9  16.3  0
343  Carne, bovina, contra-filé, com gordura, cru  6  Carnes e derivados  206  21.2  12.8  0
344  Carne, bovina, contra-filé, com gordura, grelhado  6  Carnes e derivados  278  32.4  15.5  0
345  Carne, bovina, contra-filé, sem gordura, cru  6  Carnes e derivados  157  24  6  0
346  Carne, bovina, contra-filé, sem gordura, grelhado  6  Carnes e derivados  194  35.9  4.5  0
347  Carne, bovina, costela, assada  6  Carnes e derivados  373  28.8  27.7  0
348  Carne, bovina, costela, crua  6  Carnes e derivados  358  16.7  31.8  0
349  Carne, bovina, coxão duro, sem gordura, cozido  6  Carnes e derivados  217  31.9  8.9  0
350  Carne, bovina, coxão duro, sem gordura, cru  6  Carnes e derivados  148  21.5  6.2  0
351  Carne, bovina, coxão mole, sem gordura, cozido  6  Carnes e derivados  219  32.4  8.9  0
352  Carne, bovina, coxão mole, sem gordura, cru  6  Carnes e derivados  169  21.2  8.7  0
353  Carne, bovina, cupim, assado  6  Carnes e derivados  330  28.6  23  0
354  Carne, bovina, cupim, cru  6  Carnes e derivados  221  19.5  15.3  0
355  Carne, bovina, fígado, cru  6  Carnes e derivados  141  20.7  5.4  1.1
356  Carne, bovina, fígado, grelhado  6  Carnes e derivados  225  29.9  9  4.2
357  Carne, bovina, filé mingnon, sem gordura, cru  6  Carnes e derivados  143  21.6  5.6  0
358  Carne, bovina, filé mingnon, sem gordura, grelhado  6  Carnes e derivados  220  32.8  8.8  0
359  Carne, bovina, flanco, sem gordura, cozido  6  Carnes e derivados  196  29.4  7.8  0
360  Carne, bovina, flanco, sem gordura, cru  6  Carnes e derivados  141  20  6.2  0
361  Carne, bovina, fraldinha, com gordura, cozida  6  Carnes e derivados  338  24.2  26  0
362  Carne, bovina, fraldinha, com gordura, crua  6  Carnes e derivados  221  17.6  16.1  0
363  Carne, bovina, lagarto, cozido  6  Carnes e derivados  222  32.9  9.1  0
364  Carne, bovina, lagarto, cru  6  Carnes e derivados  135  20.5  5.2  0
365  Carne, bovina, língua, cozida  6  Carnes e derivados  315  21.4  24.8  0
366  Carne, bovina, língua, crua  6  Carnes e derivados  215  17.1  15.8  0
367  Carne, bovina, maminha, crua  6  Carnes e derivados  153  20.9  7  0
368  Carne, bovina, maminha, grelhada  6  Carnes e derivados  153  30.7  2.4  0
369  Carne, bovina, miolo de alcatra, sem gordura, cru  6  Carnes e derivados  163  21.6  7.8  0
370  Carne, bovina, miolo de alcatra, sem gordura, grelhado  6  Carnes e derivados  241  31.9  11.6  0
371  Carne, bovina, músculo, sem gordura, cozido  6  Carnes e derivados  194  31.2  6.7  0
372  Carne, bovina, músculo, sem gordura, cru  6  Carnes e derivados  142  21.6  5.5  0
373  Carne, bovina, paleta, com gordura, crua  6  Carnes e derivados  159  21.4  7.5  0
374  Carne, bovina, paleta, sem gordura, cozida  6  Carnes e derivados  194  29.7  7.4  0
375  Carne, bovina, paleta, sem gordura, crua  6  Carnes e derivados  141  21  5.7  0
376  Carne, bovina, patinho, sem gordura, cru  6  Carnes e derivados  133  21.7  4.5  0
377  Carne, bovina, patinho, sem gordura, grelhado  6  Carnes e derivados  219  35.9  7.3  0
378  Carne, bovina, peito, sem gordura, cozido  6  Carnes e derivados  338  22.2  27  0
379  Carne, bovina, peito, sem gordura, cru  6  Carnes e derivados  259  17.6  20.4  0
380  Carne, bovina, picanha, com gordura, crua  6  Carnes e derivados  213  18.8  14.7  0
381  Carne, bovina, picanha, com gordura, grelhada  6  Carnes e derivados  289  26.4  19.5  0
382  Carne, bovina, picanha, sem gordura, crua  6  Carnes e derivados  134  21.3  4.7  0
383  Carne, bovina, picanha, sem gordura, grelhada  6  Carnes e derivados  238  31.9  11.3  0
384  Carne, bovina, seca, cozida  6  Carnes e derivados  313  26.9  21.9  0
385  Carne, bovina, seca, crua  6  Carnes e derivados  313  19.7  25.4  0
386  Coxinha de frango, frita  6  Carnes e derivados  283  9.6  11.8  34.5
387  Croquete, de carne, cru  6  Carnes e derivados  246  12  15.6  13.9
388  Croquete, de carne, frito  6  Carnes e derivados  347  16.9  22.7  18.1
389  Empada de frango, pré-cozida, assada  6  Carnes e derivados  358  6.9  15.6  47.5
390  Empada, de frango, pré-cozida  6  Carnes e derivados  377  7.3  22.9  35.5
391  Frango, asa, com pele, crua  6  Carnes e derivados  213  18.1  15.1  0
392  Frango, caipira, inteiro, com pele, cozido  6  Carnes e derivados  243  23.9  15.6  0
393  Frango, caipira, inteiro, sem pele, cozido  6  Carnes e derivados  196  29.6  7.7  0
394  Frango, coração, cru  6  Carnes e derivados  222  12.6  18.6  0
395  Frango, coração, grelhado  6  Carnes e derivados  207  22.4  12.1  0.6
396  Frango, coxa, com pele, assada  6  Carnes e derivados  215  28.5  10.4  0.1
397  Frango, coxa, com pele, crua  6  Carnes e derivados  161  17.1  9.8  0
398  Frango, coxa, sem pele, cozida  6  Carnes e derivados  167  26.9  5.8  0
399  Frango, coxa, sem pele, crua  6  Carnes e derivados  120  17.8  4.9  0
400  Frango, fígado, cru  6  Carnes e derivados  106  17.6  3.5  0
401  Frango, filé, à milanesa  6  Carnes e derivados  221  28.5  7.8  7.5
402  Frango, inteiro, com pele, cru  6  Carnes e derivados  226  16.4  17.3  0
403  Frango, inteiro, sem pele, assado  6  Carnes e derivados  187  28  7.5  0
404  Frango, inteiro, sem pele, cozido  6  Carnes e derivados  170  25  7.1  0
405  Frango, inteiro, sem pele, cru  6  Carnes e derivados  129  20.6  4.6  0
406  Frango, peito, com pele, assado  6  Carnes e derivados  212  33.4  7.6  0
407  Frango, peito, com pele, cru  6  Carnes e derivados  149  20.8  6.7  0
408  Frango, peito, sem pele, cozido  6  Carnes e derivados  163  31.5  3.2  0
409  Frango, peito, sem pele, cru  6  Carnes e derivados  119  21.5  3  0
410  Frango, peito, sem pele, grelhado  6  Carnes e derivados  159  32  2.5  0
411  Frango, sobrecoxa, com pele, assada  6  Carnes e derivados  260  28.7  15.2  0
412  Frango, sobrecoxa, com pele, crua  6  Carnes e derivados  255  15.5  20.9  0
413  Frango, sobrecoxa, sem pele, assada  6  Carnes e derivados  233  29.2  12  0
414  Frango, sobrecoxa, sem pele, crua  6  Carnes e derivados  162  17.6  9.6  0
415  Hambúrguer, bovino, cru  6  Carnes e derivados  215  13.2  16.2  4.2
416  Hambúrguer, bovino, frito  6  Carnes e derivados  258  20  17  6.3
417  Hambúrguer, bovino, grelhado  6  Carnes e derivados  210  13.2  12.4  11.3
418  Lingüiça, frango, crua  6  Carnes e derivados  218  14.2  17.4  0
419  Lingüiça, frango, frita  6  Carnes e derivados  245  18.3  18.5  0
420  Lingüiça, frango, grelhada  6  Carnes e derivados  244  18.2  18.4  0
421  Lingüiça, porco, crua  6  Carnes e derivados  227  16.1  17.6  0
422  Lingüiça, porco, frita  6  Carnes e derivados  280  20.5  21.3  0
423  Lingüiça, porco, grelhada  6  Carnes e derivados  296  23.2  21.9  0
424  Mortadela  6  Carnes e derivados  269  12  21.6  5.8
425  Peru, congelado, assado  6  Carnes e derivados  163  26.2  5.7  0
426  Peru, congelado, cru  6  Carnes e derivados  94  18.1  1.8  0
427  Porco, bisteca, crua  6  Carnes e derivados  164  21.5  8  0
428  Porco, bisteca, frita  6  Carnes e derivados  311  33.7  18.5  0
429  Porco, bisteca, grelhada  6  Carnes e derivados  280  28.9  17.4  0
430  Porco, costela, assada  6  Carnes e derivados  402  30.2  30.3  0
431  Porco, costela, crua  6  Carnes e derivados  256  18  19.8  0
432  Porco, lombo, assado  6  Carnes e derivados  210  35.7  6.4  0
433  Porco, lombo, cru  6  Carnes e derivados  176  22.6  8.8  0
434  Porco, orelha, salgada, crua  6  Carnes e derivados  258  18.5  19.9  0
435  Porco, pernil, assado  6  Carnes e derivados  262  32.1  13.9  0
436  Porco, pernil, cru  6  Carnes e derivados  186  20.1  11.1  0
437  Porco, rabo, salgado, cru  6  Carnes e derivados  377  15.6  34.5  0
438  Presunto, com capa de gordura  6  Carnes e derivados  128  14.4  6.8  1.4
439  Presunto, sem capa de gordura  6  Carnes e derivados  94  14.3  2.7  2.1
440  Quibe, assado  6  Carnes e derivados  136  14.6  2.7  12.9
441  Quibe, cru  6  Carnes e derivados  109  12.4  1.7  10.8
442  Quibe, frito  6  Carnes e derivados  254  14.9  15.8  12.3
443  Salame  6  Carnes e derivados  398  25.8  30.6  2.9
444  Toucinho, cru  6  Carnes e derivados  593  11.5  60.3  0
445  Toucinho, frito  6  Carnes e derivados  697  27.3  64.3  0
446  Bebida láctea, pêssego  7  Leite e derivados  55  2.1  1.9  7.6
447  Creme de Leite  7  Leite e derivados  221  1.5  22.5  4.5
448  Iogurte, natural  7  Leite e derivados  51  4.1  3  1.9
449  Iogurte, natural, desnatado  7  Leite e derivados  41  3.8  0.3  5.8
450  Iogurte, sabor abacaxi  7  Leite e derivados        
451  Iogurte, sabor morango  7  Leite e derivados  70  2.7  2.3  9.7
452  Iogurte, sabor pêssego  7  Leite e derivados  68  2.5  2.3  9.4
453  Leite, condensado  7  Leite e derivados  313  7.7  6.7  57
454  Leite, de cabra  7  Leite e derivados  66  3.1  3.8  5.2
455  Leite, de vaca, achocolatado  7  Leite e derivados  83  2.1  2.2  14.2
456  Leite, de vaca, desnatado, pó  7  Leite e derivados  362  34.7  0.9  53
457  Leite, de vaca, desnatado, UHT  7  Leite e derivados        
458  Leite, de vaca, integral  7  Leite e derivados        
459  Leite, de vaca, integral, pó  7  Leite e derivados  497  25.4  26.9  39.2
460  Leite, fermentado  7  Leite e derivados  70  1.9  0.1  15.7
461  Queijo, minas, frescal  7  Leite e derivados  264  17.4  20.2  3.2
462  Queijo, minas, meia cura  7  Leite e derivados  321  21.2  24.6  3.6
463  Queijo, mozarela  7  Leite e derivados  330  22.6  25.2  3
464  Queijo, parmesão  7  Leite e derivados  453  35.6  33.5  1.7
465  Queijo, pasteurizado  7  Leite e derivados  303  9.4  27.4  5.7
466  Queijo, petit suisse, morango  7  Leite e derivados  121  5.8  2.8  18.5
467  Queijo, prato  7  Leite e derivados  360  22.7  29.1  1.9
468  Queijo, requeijão, cremoso  7  Leite e derivados  257  9.6  23.4  2.4
469  Queijo, ricota  7  Leite e derivados  140  12.6  8.1  3.8
470  Bebida isotônica, sabores variados  8  Bebidas (alcoólicas e não alcoólicas)  26  0  0  6.4
471  Café, infusão 10%  8  Bebidas (alcoólicas e não alcoólicas)  9  0.7  0.1  1.5
472  Cana, aguardente 1  8  Bebidas (alcoólicas e não alcoólicas)  216      
473  Cana, caldo de  8  Bebidas (alcoólicas e não alcoólicas)  65  0  0  18.2
474  Cerveja, pilsen 2  8  Bebidas (alcoólicas e não alcoólicas)  41  0.6  0  3.3
475  Chá, erva-doce, infusão 5%  8  Bebidas (alcoólicas e não alcoólicas)  1  0  0  0.4
476  Chá, mate, infusão 5%  8  Bebidas (alcoólicas e não alcoólicas)  3  0  0.1  0.6
477  Chá, preto, infusão 5%  8  Bebidas (alcoólicas e não alcoólicas)  2  0  0  0.6
478  Coco, água de  8  Bebidas (alcoólicas e não alcoólicas)  22  0  0  5.3
479  Refrigerante, tipo água tônica  8  Bebidas (alcoólicas e não alcoólicas)  31  0  0  8
480  Refrigerante, tipo cola  8  Bebidas (alcoólicas e não alcoólicas)  34  0  0  8.7
481  Refrigerante, tipo guaraná  8  Bebidas (alcoólicas e não alcoólicas)  39  0  0  10
482  Refrigerante, tipo laranja  8  Bebidas (alcoólicas e não alcoólicas)  46  0  0  11.8
483  Refrigerante, tipo limão  8  Bebidas (alcoólicas e não alcoólicas)  40  0  0  10.3
484  Omelete, de queijo  9  Ovos e derivados  268  15.6  22  0.4
485  Ovo, de codorna, inteiro, cru  9  Ovos e derivados  177  13.7  12.7  0.8
486  Ovo, de galinha, clara, cozida/10minutos  9  Ovos e derivados  59  13.4  0.1  0
487  Ovo, de galinha, gema, cozida/10minutos  9  Ovos e derivados  353  15.9  30.8  1.6
488  Ovo, de galinha, inteiro, cozido/10minutos  9  Ovos e derivados  146  13.3  9.5  0.6
489  Ovo, de galinha, inteiro, cru  9  Ovos e derivados  143  13  8.9  1.6
490  Ovo, de galinha, inteiro, frito  9  Ovos e derivados  240  15.6  18.6  1.2
491  Achocolatado, pó  10  Produtos açucarados  401  4.2  2.2  91.2
492  Açúcar, cristal  10  Produtos açucarados  387  0.3  0  99.6
493  Açúcar, mascavo  10  Produtos açucarados  369  0.8  0.1  94.5
494  Açúcar, refinado  10  Produtos açucarados  387  0.3  0  99.5
495  Chocolate, ao leite  10  Produtos açucarados  540  7.2  30.3  59.6
496  Chocolate, ao leite, com castanha do Pará  10  Produtos açucarados  559  7.4  34.2  55.4
497  Chocolate, ao leite, dietético  10  Produtos açucarados  557  6.9  33.8  56.3
498  Chocolate, meio amargo  10  Produtos açucarados  475  4.9  29.9  62.4
499  Cocada branca  10  Produtos açucarados  449  1.1  13.6  81.4
500  Doce, de abóbora, cremoso  10  Produtos açucarados  199  0.9  0.2  54.6
501  Doce, de leite, cremoso  10  Produtos açucarados  306  5.5  6  59.5
502  Geléia, mocotó, natural  10  Produtos açucarados  106  2.1  0.1  24.2
503  Glicose de milho  10  Produtos açucarados  292  0  0  79.4
504  Maria mole  10  Produtos açucarados  301  3.8  0.2  73.6
505  Maria mole, coco queimado  10  Produtos açucarados  307  3.9  0.1  75.1
506  Marmelada  10  Produtos açucarados  257  0.4  0.1  70.8
507  Mel, de abelha  10  Produtos açucarados  309  0  0  84
508  Melado  10  Produtos açucarados  297  0  0  76.6
509  Quindim  10  Produtos açucarados  411  4.7  24.4  46.3
510  Rapadura  10  Produtos açucarados  352  1  0.1  90.8
511  Café, pó, torrado  11  Miscelâneas  419  14.7  11.9  65.8
512  Capuccino, pó  11  Miscelâneas  417  11.3  8.6  73.6
513  Fermento em pó, químico  11  Miscelâneas  90  0.5  0.1  43.9
514  Fermento, biológico, levedura, tablete  11  Miscelâneas  90  17  1.5  7.7
515  Gelatina, sabores variados, pó  11  Miscelâneas  380  8.9  0  89.2
516  Sal, dietético  11  Miscelâneas        
517  Sal, grosso  11  Miscelâneas        
518  Shoyu  11  Miscelâneas  61  3.3  0.3  11.6
519  Tempero a base de sal  11  Miscelâneas  21  2.7  0.3  2.1
520  Azeitona, preta, conserva  12  Outros alimentos industrializados  194  1.2  20.3  5.5
521  Azeitona, verde, conserva  12  Outros alimentos industrializados  137  0.9  14.2  4.1
522  Chantilly, spray, com gordura vegetal  12  Outros alimentos industrializados  315  0.5  27.3  16.9
523  Leite, de coco  12  Outros alimentos industrializados  166  1  18.4  2.2
524  Maionese, tradicional com ovos  12  Outros alimentos industrializados  302  0.6  30.5  7.9
525  Acarajé  13  Alimentos preparados  289  8.3  19.9  19.1
526  Arroz carreteiro  13  Alimentos preparados  154  10.8  7.1  11.6
527  Baião de dois, arroz e feijão-de-corda  13  Alimentos preparados  136  6.2  3.2  20.4
528  Barreado  13  Alimentos preparados  165  18.3  9.5  0.2
529  Bife à cavalo, com contra filé  13  Alimentos preparados  291  23.7  21.1  0
530  Bolinho de arroz  13  Alimentos preparados  274  8  8.3  41.7
531  Camarão à baiana  13  Alimentos preparados  101  7.9  6  3.2
532  Charuto, de repolho  13  Alimentos preparados  78  6.8  1.1  10.1
533  Cuscuz, de milho, cozido com sal  13  Alimentos preparados  113  2.2  0.7  25.3
534  Cuscuz, paulista  13  Alimentos preparados  142  2.6  4.6  22.5
535  Cuxá, molho  13  Alimentos preparados  80  5.6  3.6  5.7
536  Dobradinha  13  Alimentos preparados  125  19.8  4.4  0
537  Estrogonofe de carne  13  Alimentos preparados  173  15  10.8  3
538  Estrogonofe de frango  13  Alimentos preparados  157  17.6  8  2.6
539  Feijão tropeiro mineiro  13  Alimentos preparados  152  10.2  6.8  19.6
540  Feijoada  13  Alimentos preparados  117  8.7  6.5  11.6
541  Frango, com açafrão  13  Alimentos preparados  113  9.7  6.2  4.1
542  Macarrão, molho bolognesa  13  Alimentos preparados  120  4.9  0.9  22.5
543  Maniçoba  13  Alimentos preparados  134  10  8.7  3.4
544  Quibebe  13  Alimentos preparados  86  8.6  2.7  6.6
545  Salada, de legumes, com maionese  13  Alimentos preparados  96  1.1  7  8.9
546  Salada, de legumes, cozida no vapor  13  Alimentos preparados  35  2  0.3  7.1
547  Salpicão, de frango  13  Alimentos preparados  148  13.9  7.8  4.6
548  Sarapatel  13  Alimentos preparados  123  18.5  4.4  1.1
549  Tabule  13  Alimentos preparados  57  2  1.2  10.6
550  Tacacá  13  Alimentos preparados  47  7  0.4  3.4
551  Tapioca, com manteiga  13  Alimentos preparados  348  0.1  10.9  63.6
552  Tucupi, com pimenta-de-cheiro  13  Alimentos preparados  27  2.1  0.3  4.7
553  Vaca atolada  13  Alimentos preparados  145  5.1  9.3  10.1
554  Vatapá  13  Alimentos preparados  255  6  23.2  9.7
555  Virado à paulista  13  Alimentos preparados  307  10.2  25.6  14.1
556  Yakisoba  13  Alimentos preparados  113  7.5  2.6  18.3
557  Amendoim, grão, cru  14  Leguminosas e derivados  544  27.2  43.9  20.3
558  Amendoim, torrado, salgado  14  Leguminosas e derivados  606  22.5  54  18.7
559  Ervilha, em vagem  14  Leguminosas e derivados  88  7.5  0.5  14.2
560  Ervilha, enlatada, drenada  14  Leguminosas e derivados  74  4.6  0.4  13.4
561  Feijão, carioca, cozido  14  Leguminosas e derivados  76  4.8  0.5  13.6
562  Feijão, carioca, cru  14  Leguminosas e derivados  329  20  1.3  61.2
563  Feijão, fradinho, cozido  14  Leguminosas e derivados  78  5.1  0.6  13.5
564  Feijão, fradinho, cru  14  Leguminosas e derivados  339  20.2  2.4  61.2
565  Feijão, jalo, cozido  14  Leguminosas e derivados  93  6.1  0.5  16.5
566  Feijão, jalo, cru  14  Leguminosas e derivados  328  20.1  0.9  61.5
567  Feijão, preto, cozido  14  Leguminosas e derivados  77  4.5  0.5  14
568  Feijão, preto, cru  14  Leguminosas e derivados  324  21.3  1.2  58.8
569  Feijão, rajado, cozido  14  Leguminosas e derivados  85  5.5  0.4  15.3
570  Feijão, rajado, cru  14  Leguminosas e derivados  326  17.3  1.2  62.9
571  Feijão, rosinha, cozido  14  Leguminosas e derivados  68  4.5  0.5  11.8
572  Feijão, rosinha, cru  14  Leguminosas e derivados  337  20.9  1.3  62.2
573  Feijão, roxo, cozido  14  Leguminosas e derivados  77  5.7  0.5  12.9
574  Feijão, roxo, cru  14  Leguminosas e derivados  331  22.2  1.2  60
575  Grão-de-bico, cru  14  Leguminosas e derivados  355  21.2  5.4  57.9
576  Guandu, cru  14  Leguminosas e derivados  344  19  2.1  64
577  Lentilha, cozida  14  Leguminosas e derivados  93  6.3  0.5  16.3
578  Lentilha, crua  14  Leguminosas e derivados  339  23.2  0.8  62
579  Paçoca, amendoim  14  Leguminosas e derivados  487  16  26.1  52.4
580  Pé-de-moleque, amendoim  14  Leguminosas e derivados  503  13.2  28  54.7
581  Soja, farinha  14  Leguminosas e derivados  404  36  14.6  38.4
582  Soja, extrato solúvel, natural, fluido  14  Leguminosas e derivados  39  2.4  1.6  4.3
583  Soja, extrato solúvel, pó  14  Leguminosas e derivados  459  35.7  26.2  28.5
584  Soja, queijo (tofu)  14  Leguminosas e derivados  64  6.6  4  2.1
585  Tremoço, cru  14  Leguminosas e derivados  381  33.6  10.3  43.8
586  Tremoço, em conserva  14  Leguminosas e derivados  121  11.1  3.8  12.4
587  Amêndoa, torrada, salgada  15  Nozes e sementes  581  18.6  47.3  29.5
588  Castanha-de-caju, torrada, salgada  15  Nozes e sementes  570  18.5  46.3  29.1
589  Castanha-do-Brasil, crua  15  Nozes e sementes  643  14.5  63.5  15.1
590  Coco, cru  15  Nozes e sementes  406  3.7  42  10.4
591  "Coco,  verde, cru"  15  Nozes e sementes        
592  Farinha, de mesocarpo de babaçu, crua  15  Nozes e sementes  329  1.4  0.2  79.2
593  Gergelim, semente  15  Nozes e sementes  584  21.2  50.4  21.6
594  Linhaça, semente  15  Nozes e sementes  495  14.1  32.3  43.3
595  Pinhão, cozido  15  Nozes e sementes  174  3  0.7  43.9
596  Pupunha, cozida  15  Nozes e sementes  219  2.5  12.8  29.6
597  Noz, crua  15  Nozes e sementes  620  14  59.4  18.4
