data Alimento = Alimento {
  nome_alimento :: String,
  kcal :: Float,
  proteinas :: Float,
  gorduras :: Float,
  carboidratos :: Float
} deriving (Show)


id  name  category/id  category/name  nutrients/kcal  nutrients/protein  nutrients/lipids  nutrients/carbohydrates
76  Aipo, cru  2  Verduras, hortaliças e derivados  19  0.8  0.1  4.3
77  Alface, americana, crua  2  Verduras, hortaliças e derivados  9  0.6  0.1  1.7
78  Alface, crespa, crua  2  Verduras, hortaliças e derivados  11  1.3  0.2  1.7
79  Alface, lisa, crua  2  Verduras, hortaliças e derivados  14  1.7  0.1  2.4
80  Alface, roxa, crua  2  Verduras, hortaliças e derivados  13  0.9  0.2  2.5
81  Alfavaca, crua  2  Verduras, hortaliças e derivados  29  2.7  0.5  5.2
82  Alho, cru  2  Verduras, hortaliças e derivados  113  7  0.2  23.9
83  Alho-poró, cru  2  Verduras, hortaliças e derivados  32  1.4  0.1  6.9
84  Almeirão, cru  2  Verduras, hortaliças e derivados  18  1.8  0.2  3.3
85  Almeirão, refogado  2  Verduras, hortaliças e derivados  65  1.7  4.8  5.7
86  Batata, baroa, cozida  2  Verduras, hortaliças e derivados  80  0.9  0.2  18.9
87  Batata, baroa, crua  2  Verduras, hortaliças e derivados  101  1  0.2  24
88  Batata, doce, cozida  2  Verduras, hortaliças e derivados  77  0.6  0.1  18.4
89  Batata, doce, crua  2  Verduras, hortaliças e derivados  118  1.3  0.1  28.2
90  Batata, frita, tipo chips, industrializada  2  Verduras, hortaliças e derivados  543  5.6  36.6  51.2
91  Batata, inglesa, cozida  2  Verduras, hortaliças e derivados  52  1.2  0  11.9
92  Batata, inglesa, crua  2  Verduras, hortaliças e derivados  64  1.8  0  14.7
93  Batata, inglesa, frita  2  Verduras, hortaliças e derivados  267  5  13.1  35.6
94  Batata, inglesa, sauté  2  Verduras, hortaliças e derivados  68  1.3  0.9  14.1
95  Berinjela, cozida  2  Verduras, hortaliças e derivados  19  0.7  0.1  4.5
96  Berinjela, crua  2  Verduras, hortaliças e derivados  20  1.2  0.1  4.4
97  Beterraba, cozida  2  Verduras, hortaliças e derivados  32  1.3  0.1  7.2
98  Beterraba, crua  2  Verduras, hortaliças e derivados  49  1.9  0.1  11.1
99  Biscoito, polvilho doce  2  Verduras, hortaliças e derivados  438  1.3  12.2  80.5
100  Brócolis, cozido  2  Verduras, hortaliças e derivados  25  2.1  0.5  4.4
101  Brócolis, cru  2  Verduras, hortaliças e derivados  25  3.6  0.3  4
102  Cará, cozido  2  Verduras, hortaliças e derivados  78  1.5  0.1  18.9
103  Cará, cru  2  Verduras, hortaliças e derivados  96  2.3  0.1  23
104  Caruru, cru  2  Verduras, hortaliças e derivados  34  3.2  0.6  6
105  Catalonha, crua  2  Verduras, hortaliças e derivados  24  1.9  0.3  4.8
106  Catalonha, refogada  2  Verduras, hortaliças e derivados  63  2  4.8  4.8
107  Cebola, crua  2  Verduras, hortaliças e derivados  39  1.7  0.1  8.9
108  Cebolinha, crua  2  Verduras, hortaliças e derivados  20  1.9  0.4  3.4
109  Cenoura, cozida  2  Verduras, hortaliças e derivados  30  0.8  0.2  6.7
110  Cenoura, crua  2  Verduras, hortaliças e derivados  34  1.3  0.2  7.7
111  Chicória, crua  2  Verduras, hortaliças e derivados  14  1.1  0.1  2.9
112  Chuchu, cozido  2  Verduras, hortaliças e derivados  19  0.4  0  4.8
113  Chuchu, cru  2  Verduras, hortaliças e derivados  17  0.7  0.1  4.1
